Code,Name,High,Low,Close,Volume,Change,Link
AVDQ,NASD Advances Declines Volume Difference,"2,221",-510,"2,221",0,"1,490",https://eoddata.com/stockquote/INDEX/AVDQ.htm
AVDS,TSX Advance Decline Volume Difference,6532,-3431,6532,0,15311,https://eoddata.com/stockquote/INDEX/AVDS.htm
AVDT,Total Advances Declines Volume,"3,984",-694,"3,984",0,"3,536",https://eoddata.com/stockquote/INDEX/AVDT.htm
AVDU,OTC US Advance Decline Volume Difference,1171,-5698,-2656,0,-7684,https://eoddata.com/stockquote/INDEX/AVDU.htm
AVDV,TSXV Advance Decline Volume Difference,-409,-2778,-1701,0,-1678,https://eoddata.com/stockquote/INDEX/AVDV.htm
AVDX,CAD Total Advance Decline Volume,5226,-5658,5213,0,14973,https://eoddata.com/stockquote/INDEX/AVDX.htm
AVLD,AMEX Declining Volume,6146,330,5279,0,-3812,https://eoddata.com/stockquote/INDEX/AVLD.htm
AVLF,AMEX Advance Decline Volume Difference,9179,-2369,9081,0,8864,https://eoddata.com/stockquote/INDEX/AVLF.htm
AVLR,AMEX Advance Decline Vol Ratio,2770,0390,2720,0,1700,https://eoddata.com/stockquote/INDEX/AVLR.htm
AVLU,AMEX Advancing Volume,"1,436",27,"1,436",0,505,https://eoddata.com/stockquote/INDEX/AVLU.htm
AVRA,AMEX Advance Decline Volume Ratio,2540,0200,2540,0,2360,https://eoddata.com/stockquote/INDEX/AVRA.htm
AVRC,CSE Advance Decline Volume Ratio,1300,0640,1280,0,0830,https://eoddata.com/stockquote/INDEX/AVRC.htm
AVRE,ETFS Advance Decline Volume Ratio,2270,0560,2260,0,1170,https://eoddata.com/stockquote/INDEX/AVRE.htm
AVRN,NYSE Advance Decline Volume Ratio,2350,0710,2350,0,1440,https://eoddata.com/stockquote/INDEX/AVRN.htm
AVRQ,NASD Advance Decline Volume Ratio,2650,0640,2640,0,1300,https://eoddata.com/stockquote/INDEX/AVRQ.htm
AVRS,TSX Advance Decline Volume Ratio,1560,0380,1560,0,1040,https://eoddata.com/stockquote/INDEX/AVRS.htm
AVRT,Total Advance Decline Volume Ratio,2500,0690,2500,0,1400,https://eoddata.com/stockquote/INDEX/AVRT.htm
AVRU,OTC US Advance Decline Volume Ratio,11200,05100,08300,0,-05700,https://eoddata.com/stockquote/INDEX/AVRU.htm
AVRV,TSXV Advance Decline Volume Ratio,06500,03500,06500,0,-03400,https://eoddata.com/stockquote/INDEX/AVRV.htm
AVRX,CAD Total Advance Decline Volume Ratio,1290,0420,1280,0,0670,https://eoddata.com/stockquote/INDEX/AVRX.htm
AVVA,AMEX Advancing Volume,1753,59,1753,0,1486,https://eoddata.com/stockquote/INDEX/AVVA.htm
AVVC,CSE Advancing Volume,1745,158,1729,0,924,https://eoddata.com/stockquote/INDEX/AVVC.htm
AVVE,ETFS Advancing Volume,"1,853",143,"1,853",0,509,https://eoddata.com/stockquote/INDEX/AVVE.htm
AVVN,NYSE Advancing Volume,"2,882",224,"2,882",0,"1,022",https://eoddata.com/stockquote/INDEX/AVVN.htm
AVVQ,NASD Advancing Volume,"3,568",402,"3,568",0,732,https://eoddata.com/stockquote/INDEX/AVVQ.htm
AVVS,TSX Advancing Volume,1818,94,1818,0,834,https://eoddata.com/stockquote/INDEX/AVVS.htm
AVVT,Total Advancing Volume,"6,625",632,"6,625",0,"1,903",https://eoddata.com/stockquote/INDEX/AVVT.htm
AVVU,OTC US Advancing Volume,"1,464",165,"1,342",0,-417,https://eoddata.com/stockquote/INDEX/AVVU.htm
AVVV,TSXV Advancing Volume,3283,552,3283,0,-1850,https://eoddata.com/stockquote/INDEX/AVVV.htm
AVVX,CAD Total Advancing Volume,2319,165,2319,0,742,https://eoddata.com/stockquote/INDEX/AVVX.htm
